offense,offense_conference,defense,defense_conference,game_id,id,drive_number,scoring,start_period,start_yardline,start_yards_to_goal,start_time.minutes,start_time.seconds,end_period,end_yardline,end_yards_to_goal,end_time.minutes,end_time.seconds,elapsed.minutes,elapsed.seconds,plays,yards,drive_result,is_home_offense,start_offense_score,start_defense_score,end_offense_score,end_defense_score
Nebraska,Big Ten,Iowa,Big Ten,401405148,40140514816,16,false,3,94,94,8,32,3,75,75,5,11,3,21,5,19,PUNT,false,24,7,24,7
Iowa,Big Ten,Nebraska,Big Ten,401405148,40140514817,17,false,3,26,74,5,11,3,55,45,0,50,4,21,9,29,PUNT,true,7,24,7,24
Nebraska,Big Ten,Iowa,Big Ten,401405148,40140514818,18,false,3,86,86,0,50,4,51,51,9,34,6,16,11,35,PUNT,false,24,7,24,7
Iowa,Big Ten,Nebraska,Big Ten,401405148,40140514819,19,true,4,10,90,9,34,4,100,0,6,49,2,45,9,90,TD,true,7,24,14,24
Nebraska,Big Ten,Iowa,Big Ten,401405148,40140514820,20,false,4,75,75,6,49,4,73,73,6,3,0,46,1,2,FUMBLE,false,24,14,24,14
Iowa,Big Ten,Nebraska,Big Ten,401405148,40140514821,21,true,4,73,27,6,3,4,73,27,5,41,0,22,4,0,FG,true,14,24,17,24
Nebraska,Big Ten,Iowa,Big Ten,401405148,40140514822,22,false,4,75,75,5,41,4,66,66,3,20,2,21,3,9,PUNT,false,24,17,24,17
Iowa,Big Ten,Nebraska,Big Ten,401405148,40140514823,23,false,4,22,78,3,20,4,33,67,2,6,1,14,7,11,DOWNS,true,17,24,17,24
Nebraska,Big Ten,Iowa,Big Ten,401405148,40140514824,24,false,4,33,33,2,6,4,34,34,1,5,1,1,3,-1,PUNT,false,24,17,24,17
Iowa,Big Ten,Nebraska,Big Ten,401405148,40140514825,25,false,4,20,80,1,5,4,36,64,0,42,0,23,4,16,DOWNS,true,17,24,17,24
Nebraska,Big Ten,Iowa,Big Ten,401405148,40140514826,26,false,4,36,36,0,42,4,37,37,0,0,0,42,1,-1,END OF GAME,false,24,17,24,17
Kentucky,SEC,Iowa,Big Ten,401442017,4014420171,1,false,1,25,75,15,0,1,44,56,12,38,2,22,5,19,PUNT,true,0,0,0,0
Iowa,Big Ten,Kentucky,SEC,401442017,4014420172,2,false,1,78,78,12,38,1,33,33,8,48,3,50,7,45,DOWNS,false,0,0,0,0
Kentucky,SEC,Iowa,Big Ten,401442017,4014420173,3,false,1,33,67,8,48,1,54,46,5,14,3,34,6,21,PUNT,true,0,0,0,0
Iowa,Big Ten,Kentucky,SEC,401442017,4014420174,4,false,1,60,60,5,14,1,53,53,2,59,2,15,3,7,PUNT,false,0,0,0,0
Kentucky,SEC,Iowa,Big Ten,401442017,4014420175,5,false,1,2,98,2,59,1,9,91,0,44,2,15,3,7,PUNT,true,0,0,0,0
